epsilon,rep,race,n,Accuracy
10.0,7,AfricanAmerican,3821,0.6110965715781209
10.0,7,Asian,115,0.6
10.0,7,Caucasian,14970,0.6081496325985304
10.0,7,Hispanic,410,0.6609756097560976
10.0,7,Other,295,0.6508474576271186
10.0,8,AfricanAmerican,3821,0.6179010730175347
10.0,8,Asian,115,0.6173913043478261
10.0,8,Caucasian,14970,0.6162992651970608
10.0,8,Hispanic,410,0.6585365853658537
10.0,8,Other,295,0.6508474576271186
10.0,9,AfricanAmerican,3821,0.6215650353310652
10.0,9,Asian,115,0.6
10.0,9,Caucasian,14970,0.6137608550434202
10.0,9,Hispanic,410,0.6682926829268293
10.0,9,Other,295,0.6440677966101694
10.0,10,AfricanAmerican,3821,0.6173776498298874
10.0,10,Asian,115,0.6
10.0,10,Caucasian,14970,0.6134936539746159
10.0,10,Hispanic,410,0.6463414634146342
10.0,10,Other,295,0.6542372881355932
10.0,11,AfricanAmerican,3821,0.6207799005495943
10.0,11,Asian,115,0.591304347826087
10.0,11,Caucasian,14970,0.6128256513026052
10.0,11,Hispanic,410,0.6536585365853659
10.0,11,Other,295,0.6677966101694915
10.0,12,AfricanAmerican,3821,0.6184244962051819
10.0,12,Asian,115,0.6086956521739131
10.0,12,Caucasian,14970,0.6150300601202405
10.0,12,Hispanic,410,0.6536585365853659
10.0,12,Other,295,0.6644067796610169
10.0,13,AfricanAmerican,3821,0.6194713425804763
10.0,13,Asian,115,0.5826086956521739
10.0,13,Caucasian,14970,0.6173680694722778
10.0,13,Hispanic,410,0.6560975609756098
10.0,13,Other,295,0.6644067796610169
10.0,14,AfricanAmerican,3821,0.6213033237372415
10.0,14,Asian,115,0.6347826086956522
10.0,14,Caucasian,14970,0.6151636606546426
10.0,14,Hispanic,410,0.6536585365853659
10.0,14,Other,295,0.6440677966101694
10.0,15,AfricanAmerican,3821,0.6199947657681235
10.0,15,Asian,115,0.6260869565217392
10.0,15,Caucasian,14970,0.6124248496993988
10.0,15,Hispanic,410,0.6658536585365854
10.0,15,Other,295,0.6440677966101694
10.0,16,AfricanAmerican,3821,0.6147605338916514
10.0,16,Asian,115,0.6
10.0,16,Caucasian,14970,0.6171676686706746
10.0,16,Hispanic,410,0.6536585365853659
10.0,16,Other,295,0.6474576271186441
10.0,17,AfricanAmerican,3821,0.6186862077990055
10.0,17,Asian,115,0.6260869565217392
10.0,17,Caucasian,14970,0.6161656646626587
10.0,17,Hispanic,410,0.6634146341463415
10.0,17,Other,295,0.6677966101694915
10.0,18,AfricanAmerican,3821,0.6199947657681235
10.0,18,Asian,115,0.6086956521739131
10.0,18,Caucasian,14970,0.6179692718770875
10.0,18,Hispanic,410,0.6609756097560976
10.0,18,Other,295,0.6508474576271186
10.0,19,AfricanAmerican,3821,0.6233970164878304
10.0,19,Asian,115,0.6173913043478261
10.0,19,Caucasian,14970,0.6148296593186373
10.0,19,Hispanic,410,0.6536585365853659
10.0,19,Other,295,0.6440677966101694
