epsilon,rep,race,n,Accuracy
10.0,12,AfricanAmerican,3821,0.5268254383669196
10.0,12,Asian,115,0.6347826086956522
10.0,12,Caucasian,14970,0.5358049432197729
10.0,12,Hispanic,410,0.5853658536585366
10.0,12,Other,295,0.5559322033898305
10.0,13,AfricanAmerican,3821,0.5310128238680973
10.0,13,Asian,115,0.5739130434782609
10.0,13,Caucasian,14970,0.5273881095524382
10.0,13,Hispanic,410,0.4707317073170731
10.0,13,Other,295,0.535593220338983
10.0,14,AfricanAmerican,3821,0.5302276890866265
10.0,14,Asian,115,0.5652173913043478
10.0,14,Caucasian,14970,0.5370741482965932
10.0,14,Hispanic,410,0.526829268292683
10.0,14,Other,295,0.5694915254237288
10.0,15,AfricanAmerican,3821,0.5323213818372153
10.0,15,Asian,115,0.6608695652173913
10.0,15,Caucasian,14970,0.5362725450901804
10.0,15,Hispanic,410,0.5975609756097561
10.0,15,Other,295,0.6169491525423729
10.0,16,AfricanAmerican,3821,0.5291808427113321
10.0,16,Asian,115,0.5826086956521739
10.0,16,Caucasian,14970,0.5319305277221109
10.0,16,Hispanic,410,0.5317073170731708
10.0,16,Other,295,0.5864406779661017
10.0,17,AfricanAmerican,3821,0.5022245485475006
10.0,17,Asian,115,0.5217391304347826
10.0,17,Caucasian,14970,0.5002672010688043
10.0,17,Hispanic,410,0.4560975609756098
10.0,17,Other,295,0.4576271186440678
10.0,18,AfricanAmerican,3821,0.5359853441507458
10.0,18,Asian,115,0.5565217391304348
10.0,18,Caucasian,14970,0.537875751503006
10.0,18,Hispanic,410,0.5756097560975609
10.0,18,Other,295,0.5830508474576271
10.0,19,AfricanAmerican,3821,0.4883538340748495
10.0,19,Asian,115,0.4695652173913043
10.0,19,Caucasian,14970,0.5162992651970608
10.0,19,Hispanic,410,0.4902439024390244
10.0,19,Other,295,0.488135593220339
20.0,0,AfricanAmerican,3821,0.5391258832766291
20.0,0,Asian,115,0.591304347826087
20.0,0,Caucasian,14970,0.5474949899799599
20.0,0,Hispanic,410,0.5926829268292683
20.0,0,Other,295,0.6542372881355932
20.0,1,AfricanAmerican,3821,0.5359853441507458
20.0,1,Asian,115,0.6782608695652174
20.0,1,Caucasian,14970,0.5388109552438209
20.0,1,Hispanic,410,0.5634146341463414
20.0,1,Other,295,0.5728813559322034
20.0,2,AfricanAmerican,3821,0.4831196021983774
20.0,2,Asian,115,0.4956521739130435
20.0,2,Caucasian,14970,0.4968603874415497
20.0,2,Hispanic,410,0.448780487804878
20.0,2,Other,295,0.5254237288135594
20.0,3,AfricanAmerican,3821,0.5380790369013347
20.0,3,Asian,115,0.6434782608695652
20.0,3,Caucasian,14970,0.5441549766199065
20.0,3,Hispanic,410,0.5634146341463414
20.0,3,Other,295,0.559322033898305
20.0,4,AfricanAmerican,3821,0.5331065166186862
20.0,4,Asian,115,0.6260869565217392
20.0,4,Caucasian,14970,0.5350701402805611
20.0,4,Hispanic,410,0.573170731707317
20.0,4,Other,295,0.5932203389830508
20.0,5,AfricanAmerican,3821,0.5283957079298613
20.0,5,Asian,115,0.6695652173913044
20.0,5,Caucasian,14970,0.55437541750167
20.0,5,Hispanic,410,0.5707317073170731
20.0,5,Other,295,0.5864406779661017
20.0,6,AfricanAmerican,3821,0.5383407484951583
20.0,6,Asian,115,0.6
