escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
k=5 + l=5,Regresión Logística,9999,0.6217,0.5613,0.0122,0.5049,0.6718,0.6596
k=5 + l=5,Regresión Logística,10007,0.6217,0.556,0.0038,0.5078,0.6642,0.6604
k=5 + l=5,Regresión Logística,11113,0.6217,0.5452,-0.0138,0.4896,0.6494,0.6632
k=5 + l=5,Regresión Logística,13121,0.6217,0.5561,0.0016,0.5017,0.6668,0.6652
k=5 + l=5,Regresión Logística,17171,0.6217,0.5545,-0.0006,0.4994,0.6642,0.6648
k=5 + l=5,Regresión Logística,19273,0.6217,0.5605,0.0102,0.5024,0.6714,0.6612
k=5 + l=5,Regresión Logística,23131,0.6217,0.5727,0.0288,0.5176,0.6892,0.6604
k=5 + l=5,Regresión Logística,29327,0.6217,0.5552,-0.0042,0.493,0.6698,0.674
k=5 + l=5,Regresión Logística,31193,0.6217,0.5579,0.0078,0.4972,0.6658,0.658
k=5 + l=5,Regresión Logística,33391,0.6217,0.5577,-0.0018,0.4984,0.675,0.6768
k=5 + l=5,Regresión Logística,37397,0.6217,0.5629,0.0152,0.5089,0.6736,0.6584
k=5 + l=5,Random Forest,42,0.6309,0.5728,0.0368,0.5184,0.6816,0.6448
k=5 + l=5,Random Forest,137,0.6309,0.5539,-0.0002,0.5004,0.6618,0.662
k=5 + l=5,Random Forest,271,0.6309,0.5537,-0.0036,0.5044,0.6648,0.6684
k=5 + l=5,Random Forest,314,0.6309,0.5483,-0.0042,0.503,0.649,0.6532
k=5 + l=5,Random Forest,1729,0.6309,0.5549,0.0012,0.4991,0.6636,0.6624
k=5 + l=5,Random Forest,2718,0.6309,0.5507,-0.0022,0.5103,0.6542,0.6564
k=5 + l=5,Random Forest,3141,0.6309,0.5477,-0.013,0.5001,0.6562,0.6692
k=5 + l=5,Random Forest,6022,0.6309,0.5593,0.0018,0.494,0.6762,0.6744
k=5 + l=5,Random Forest,8128,0.6309,0.5611,0.012,0.5077,0.6712,0.6592
k=5 + l=5,Random Forest,9999,0.6309,0.5599,0.0146,0.5144,0.665,0.6504
k=5 + l=5,Random Forest,10007,0.6309,0.5555,-0.0028,0.5031,0.6692,0.672
k=5 + l=5,Random Forest,11113,0.6309,0.5585,0.0112,0.5158,0.6644,0.6532
k=5 + l=5,Random Forest,13121,0.6309,0.5551,-0.0022,0.5021,0.6674,0.6696
k=5 + l=5,Random Forest,17171,0.6309,0.5476,-0.0168,0.4942,0.6596,0.6764
k=5 + l=5,Random Forest,19273,0.6309,0.5581,0.0076,0.5066,0.6668,0.6592
k=5 + l=5,Random Forest,23131,0.6309,0.5651,0.0126,0.5082,0.6826,0.67
k=5 + l=5,Random Forest,29327,0.6309,0.5491,-0.0154,0.4931,0.6626,0.678
k=5 + l=5,Random Forest,31193,0.6309,0.5619,0.0106,0.507,0.675,0.6644
k=5 + l=5,Random Forest,33391,0.6309,0.5575,0.0052,0.508,0.6672,0.662
k=5 + l=5,Random Forest,37397,0.6309,0.5525,-0.0012,0.4995,0.6588,0.66
k=5 + t=0.25,Regresión Logística,42,0.6087,0.5525,-0.0082,0.496,0.6658,0.674
k=5 + t=0.25,Regresión Logística,137,0.6087,0.5609,0.0082,0.5069,0.6746,0.6664
k=5 + t=0.25,Regresión Logística,271,0.6087,0.5561,-0.0042,0.499,0.6726,0.6768
k=5 + t=0.25,Regresión Logística,314,0.6087,0.5529,-0.0002,0.5021,0.659,0.6592
k=5 + t=0.25,Regresión Logística,1729,0.6087,0.5495,-0.016,0.4961,0.6644,0.6804
k=5 + t=0.25,Regresión Logística,2718,0.6087,0.5513,-0.006,0.5034,0.66,0.666
k=5 + t=0.25,Regresión Logística,3141,0.6087,0.5557,0.0018,0.5101,0.6654,0.6636
k=5 + t=0.25,Regresión Logística,6022,0.6087,0.5637,0.0204,0.5136,0.6708,0.6504
k=5 + t=0.25,Regresión Logística,8128,0.6087,0.5612,0.0174,0.5175,0.6662,0.6488
k=5 + t=0.25,Regresión Logística,9999,0.6087,0.5557,0.0054,0.5132,0.6618,0.6564
k=5 + t=0.25,Regresión Logística,10007,0.6087,0.5557,0.0034,0.5075,0.6638,0.6604
k=5 + t=0.25,Regresión Logística,11113,0.6087,0.5596,0.0062,0.516,0.6726,0.6664
k=5 + t=0.25,Regresión Logística,13121,0.6087,0.5621,0.014,0.5034,0.6724,0.6584
k=5 + t=0.25,Regresión Logística,17171,0.6087,0.5571,0.0026,0.5119,0.6686,0.666
k=5 + t=0.25,Regresión Logística,19273,0.6087,0.5509,-0.0074,0.5044,0.6602,0.6676
k=5 + t=0.25,Regresión Logística,23131,0.6087,0.5684,0.0308,0.5256,0.6744,0.6436
k=5 + t=0.25,Regresión Logística,29327,0.6087,0.5716,0.029,0.5222,0.6858,0.6568
k=5 + t=0.25,Regresión Logística,31193,0.6087,0.55,-0.0046,0.5016,0.6546,0.6592
k=5 + t=0.25,Regresión Logística,33391,0.6087,0.5603,0.0066,0.5066,0.6742,0.6676
k=5 + t=0.25,Regresión Logística,37397,0.6087,0.5575,0.0044,0.5075,0.668,0.6636
k=5 + t=0.25,Random Forest,42,0.6278,0.5552,0.0054,0.5093,0.6602,0.6548
k=5 + t=0.25,Random Forest,137,0.6278,0.5676,0.024,0.5154,0.6788,0.6548
k=5 + t=0.25,Random Forest,271,0.6278,0.5608,0.009,0.5111,0.6734,0.6644
k=5 + t=0.25,Random Forest,314,0.6278,0.5549,0.01,0.5159,0.6548,0.6448
k=5 + t=0.25,Random Forest,1729,0.6278,0.5621,0.0134,0.5043,0.673,0.6596
k=5 + t=0.25,Random Forest,2718,0.6278,0.5611,0.0134,0.5087,0.6698,0.6564
k=5 + t=0.25,Random Forest,3141,0.6278,0.5579,0.0008,0.5092,0.6728,0.672
k=5 + t=0.25,Random Forest,6022,0.6278,0.5549,-0.0044,0.5,0.6692,0.6736
k=5 + t=0.25,Random Forest,8128,0.6278,0.5536,0.0006,0.5049,0.6602,0.6596
k=5 + t=0.25,Random Forest,9999,0.6278,0.5608,0.014,0.5139,0.6684,0.6544
k=5 + t=0.25,Random Forest,10007,0.6278,0.5545,-0.001,0.4958,0.6646,0.6656
k=5 + t=0.25,Random Forest,11113,0.6278,0.5561,0.0046,0.5022,0.6638,0.6592
k=5 + t=0.25,Random Forest,13121,0.6278,0.5635,0.0144,0.5167,0.676,0.6616
k=5 + t=0.25,Random Forest,17171,0.6278,0.5636,0.0176,0.5164,0.6732,0.6556
k=5 + t=0.25,Random Forest,19273,0.6278,0.5603,0.014,0.5136,0.6668,0.6528
k=5 + t=0.25,Random Forest,23131,0.6278,0.5597,0.0136,0.5148,0.6656,0.652
k=5 + t=0.25,Random Forest,29327,0.6278,0.5511,-0.0088,0.5066,0.662,0.6708
k=5 + t=0.25,Random Forest,31193,0.6278,0.5483,-0.0178,0.4896,0.6626,0.6804
k=5 + t=0.25,Random Forest,33391,0.6278,0.5568,-0.002,0.4984,0.6724,0.6744
k=5 + t=0.25,Random Forest,37397,0.6278,0.5585,0.0138,0.5123,0.6618,0.648
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,42,0.6203,0.5604,0.006,0.5051,0.6752,0.6692
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,137,0.6203,0.5501,-0.0148,0.4995,0.6652,0.68
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,271,0.6203,0.5584,-0.0006,0.4992,0.6758,0.6764
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,314,0.6203,0.5563,0.0094,0.5023,0.6594,0.65
k=5 + l=5 + t=0.3 (Hard),Regresión Logística,1729,0.6203,0.544,-0.0194,0.4876,0.6514,0.6708
